Salesperson,CustomerName,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
TONY,DETERPRO ENTERPRISES,,,,,,,,,,,,,,,,,,,"35,449.60000",,,,
TONY,EDIBLE OIL PRODUCTS LIMITED,,"651,432.80000","2,079,728.04000","256,128.00000","1,305,525.48000","258,147.67600","2,199,107.12000","1,435,667.38800","985,483.80000","687,048.28000","852,391.20000",,"620,136.00000","769,602.00000","976,256.58000",,"387,366.92000","841,457.04000","316,958.40000","838,523.40000","382,800.00000","210,727.92000","745,079.60000"
TONY,GENERAL PLASTICS LIMITED,,"161,240.00000","206,480.00000","169,708.00000",,,"388,136.00000","-246,036.00000","200,680.00000","199,404.00000","216,467.60000","703,076.00000","484,114.40000","453,966.00000","502,117.60000","373,566.40000","819,076.00000","740,264.20800","700,350.00000","600,300.00000","146,160.00000","146,160.00000","57,002.40000"
TONY,GLAXOSMITHKLINE LIMITED,,"297,526.08000",,"272,608.76960","375,170.24120","74,651.97400","978,982.22620",,"44,310.84000","427,022.44800","294,719.21640",,,,,,,"47,289.72000",,,,,
TONY,GOLDEN AFRICA KENYA LIMITED,,,,,,,,"579,591.10000","1,771,106.56000","106,947.07000","2,480,366.81000","1,263,823.01600","1,776,435.60000","832,732.10000","704,242.48301","773,287.32000","2,807,571.78000","636,940.34000","3,634,552.94800","1,150,784.14800","818,754.10000","3,049,506.89000","2,264,438.55200"
TONY,ISINYA FEEDS LTD,,,,,,"207,068.46800","70,528.00000","167,663.50000","71,830.10000","1,336.32000","208,243.20000",,,,,,,,,,,,
TONY,IZYCUT LABELS,,,,,"10,718.40000",,,,,,,,,,,,,,,,,,
TONY,IZZI BRUNCH AND CAKE LTD,,,,,,,,,,,"56,028.00000",,,,,,,"175,508.00000",,,,,
TONY,JETLAK FOODS LIMITED,,,,"201,770.40000",,,,,"99,667.20000",,,"185,832.00000",,"192,573.92000",,"212,528.80000",,,,"144,443.20000",,,
TONY,KENAFRIC INDUSTRIES LIMITED,,,,,,,,,,"97,020.00000",,,,,"180,653.76000",,,,,,"55,540.80000","28,355.04000",
TONY,KEVIAN KENYA LIMITED,,"3,839,586.97320","1,383,461.78520","1,114,153.74920","3,300,961.46560","1,507,290.78040","1,463,017.99560","1,496,650.07280","2,532,821.96940","-54,080.17440","1,306,855.49840","341,864.91080",,"833,183.75760","236,133.31200","964,241.32320","67,885.52000","314,465.53680","1,002,033.74040","399,576.34920","37,138.00320","205,929.69600","297,413.03220"
TONY,KITAMU FARM  LIMITED,,"55,912.00000","110,914.56000",,,,,,,,,,,,,,,,,,,,
TONY,MENENGAI OIL REFINERIES LIMITED,,"1,272,950.36000","2,029,612.65280","569,729.99800","-77,679.96840","279,419.06000","143,086.00000","277,188.96000","890,026.24000","122,423.50000",,,"140,365.80000","267,391.60000","620,065.93600","339,137.60000","1,094,544.67188","188,382.14400","834,519.08000","394,255.69600","536,120.44800","2,146,470.96000","448,456.00000"
TONY,MOJO SKINCARE PRODUCTS LIMITED,,,,,,,,,,,,,,,,,,,,,"38,280.00000",,
TONY,MVITA OIL,,,,,,,,"2,296,173.60000","650,899.20000","1,593,631.20000","1,699,353.60000","1,206,794.40000","-50,001.33600","4,767,252.00000","1,403,623.20000",,"2,345,868.00000","2,361,458.40000",,"1,810,922.40000",,"468,686.40000","1,406,546.40000"
TONY,PLUS EX PRODUCTS,,,"159,993.00000",,,"-18,705.00000",,"11,600.00000","38,058.44000",,,"45,276.07600","47,884.80000",,"55,167.28000","40,619.77800",,"54,827.40000","88,029.96400","97,461.46000",,,"43,096.32000"
TONY,PZ CUSSONS EAST AFRICA LIMITED,,"603,543.82400","975,228.86640","1,661,347.36000","1,965,119.38112","1,087,184.01600","1,729,452.81600","1,321,323.28800","520,488.52000","2,567,590.28400","2,748,071.20400","3,442,168.57594","2,270,422.52800","3,211,411.86000","621,628.61840","2,511,872.46800","2,179,770.59280","769,459.43600","1,740,181.65600","1,051,055.35200","822,304.03640","1,495,949.28200","1,019,631.76400"
TONY,RADHESHYAM SUPPLIERS LIMITED,,,,,,,,,"23,200.00000","38,280.00000",,,,,"31,790.96000","9,280.00000",,,,,,,
TONY,RAINFOREST FARMLANDS KENYA PUBLIC LIMITED COMPANY,,,,,,,,,,,,,,,"62,000.20200","51,797.94400","57,420.00000","107,328.82600","26,540.80000","81,149.13400","44,660.00000","108,185.66000","20,288.40000"
TONY,SILAFRICA  KENYA LIMITED,,,,,,,,,,,,"470,753.52000","661,100.24000","46,942.88000",,"474,834.40000","2,362,212.40000","744,773.36000","687,817.36000",,"153,120.00000","901,192.40000","276,707.35120"
TONY,SOLVOCHEM EAST AFRICA LIMITED,,,,,,,,,,,,,,"10,440.00000",,,,,,,,,
TONY,TECHPAK INDUSTRIES LIMITED,,"823,536.20000","2,910,790.19240","2,435,803.18280","5,764,814.82000","2,933,195.39720","3,654,639.56600","1,145,877.30160","1,809,251.33880","5,349,934.78600","4,910,033.13280","7,449,015.46264","2,959,030.55792","92,506.90976","-505,697.29040","7,272,940.48172","9,730,759.51664","6,966,016.87012","5,091,208.28966","4,639,611.12928","468,518.97720","1,478,805.31488","3,964,404.72596"
TONY,Ultravetis E.a. Limited,,,,"63,800.00000",,,"-33,060.00000","84,970.00000","30,305.00000",,"61,347.76000","17,539.20000","93,497.85600",,,"33,060.00000",,,"54,984.00000","23,756.80000","72,500.00000","101,212.90000","27,840.00000"
TONY,VAJAS MANUFACTURERS LIMITED,,"12,528.00000","92,475.20000","85,376.00000",,,,,,,,,,,,,,,,,,,
TONY,VICTORIA JUICE CO LIMITED,,"53,370.88080","210,359.21400","334,541.52920","124,605.05400","725,492.33880","425,235.46800",,,"133,786.82520","235,534.92600","85,180.37760","177,777.96920","43,845.80760",,"248,135.89000","212,524.67880",,,,,,
SUZY,ACEE LIMITED,,,,,,"5,800.00000",,,,,,,,,,,,,,,,,
SUZY,ALPHA BREEZE ENTERPRISES,"340,982.00000","365,771.20000","433,979.20000","388,739.20000","72,500.00000","69,948.00000",,,,"61,596.00000","59,693.60000","26,100.00000","136,416.00000","81,780.00000",,,,,,,,,
SUZY,B.BRAUN PHARMACEUTICALS EPZ LIMITED,,,"15,000.00000",,"731,400.00000",,,,,,,,,,,,,,,,,,
SUZY,BESAPACK LIMITED,"433,840.00000",,,,,"103,240.00000",,,,,,,,"111,784.56000",,,,,,,,,
SUZY,BORESHA AFRICA LIMITED,,,,,,,,,,,,"32,166.80000",,,,,,,,,,,
SUZY,CAPWELL INDUSTRIES LIMITED,,,"10,440.00000",,"119,108.80000","232,969.76000","136,508.80000",,,,,,,,,,,,,,,,
SUZY,CHANDARIA INDUSTRIES LTD,,"13,989.60000","131,283.00000","102,144.96000","76,562.32000",,"237,948.77000","68,846.00000","22,306.80000","32,224.80000",,"332,862.00000","152,208.00800","227,458.60000",,,,,,,,,
SUZY,CITIQUEST,,,,"11,136.00000",,,,"5,568.00000","5,568.00000","5,568.00000","5,568.00000","12,820.32000",,"11,136.00000",,,,,,,,,
SUZY,CLOROX SUB-SAHARA AFRICA LTD,,,,,,,"14,500.00000",,,,,,,,,,,,,,,,
SUZY,COSRANET ENTERPRISES,,,"5,220.00000",,,,,,,,,,,,,,,,,,,,
SUZY,DEVANI LIMITED,,,,,"149,548.12800",,,"-53,401.76000",,,,,,,,,,,,,,,
SUZY,FOAM MATTRESSES LIMITED,,"624,741.20000",,"480,021.92000","699,619.20000",,,,,,,,,,,,,,,,,,
SUZY,GIBSONS COFFEEE,,,,,,"2,626.24000","61,060.08000",,,,,,,,,,,,,,,,
SUZY,GOLDEN AFRICA KENYA LIMITED,,"147,057.84000",,"14,439.10000","1,185,970.08000",,"533,785.60000",,,,,,,,,,,,,,,,
SUZY,HK EMPIRES LIMITED,,,"6,960.00000",,,,"5,220.00000","7,748.80000","3,011.36000",,,,,,,,,,,,,,
SUZY,JOMUS SPICES LIMITED,"98,170.80000",,,,,,,"63,753.60000",,,,,,,,,,,,,,,
SUZY,JOSKAB ENTERPRISES,,,"56,793.60000",,"39,440.00000",,,,,,,,,,,,,,,,,,
SUZY,KAPA OIL REFINERIES LIMITED,"-1,195,264.00000","416,440.00000","1,067,200.00000","965,812.98400","464,071.34000",,"-3,441.25600",,,,,,,,,,,,,,,,
SUZY,KENYA SWEETS LIMITED,,"18,560.00000",,,,,,,,,,,,,,,,,,,,,
SUZY,KOIBATEK HIGHLANDSWATER COMPANY LTD,,,,"142,434.08000","29,348.00000",,,,,,"59,858.32000",,,,,,,,,,,,
SUZY,METAL CROWN,,,,"171,685.80000",,"165,369.60000",,"105,768.80000","150,475.20000","175,499.88000",,"114,793.60000",,,,,,,,,,,
SUZY,MIA WINES & SPIRITS INTERNATIONAL,,"17,469.60000",,,,,,,,,,,,,,,,,,,,,
SUZY,MVITA OIL,,"905,960.00000","1,082,280.00000","510,400.00000","1,060,240.00000",,,,,,,,,,,,,,,,,,
SUZY,OLA ENERGY KENYA LTD,,"34,800.00000","76,933.52000","1,384,021.98400","6,082,022.95840","7,555,879.47200","3,612,648.08800","270,608.38551","294,685.47200","1,603,497.34800","1,159,545.04800","1,414,926.12400","1,763,485.82400","1,768,208.18400","1,880,807.29600","1,392,659.69200","3,614,629.13600","290,281.88000",,,,,
SUZY,SCORELINE COMMUNCATIONS LIMITED,"52,896.00000",,,,,,,,,,,,,,,,,,,,,,
SUZY,SHELTER COMPLEX LIMITED,,,,,,,,,,,,,,,,"63,577.28000",,,,,,,
SUZY,SKY DRIPS LIMITED,"23,850.00000",,"10,544.40000",,,,,,,,,"7,912.12800",,"5,359.20000",,"9,744.00000",,,,,,,
SUZY,SLEEKLADY COSMETIC LIMITED,"29,000.00000",,"28,988.40000",,,,,,,,,,,,,,,,,,,,
SUZY,SLICK PRODUCTS LTD,,"24,940.00000",,,,,,,,,,,,,,,,,,,,,
SUZY,T.I.A BEE PRODUCTS KENYA  LIMITED,,,"28,420.00000",,,,,,,,,,,,,,,,,,,,
SUZY,TALLULAH FRESH LTD,,,,,,"12,412.00000",,,,,,,,,,,,,,,,,
SUZY,VIPINGO INDUSTRIES,,,,,"271,282.24000",,,"279,337.28000",,,,,,,,,,,,,,,
SUZY,ZUCCHINI GREENGROCERS LTD,,"51,782.40000",,,,,,,,,,,,,,,,,,,,,
SHIV,A&V GROUP LTD,,"127,128.96000",,,,,,,,,,,,,,,,,,,,,
SHIV,ACE CHEMICALS LTD,"69,080.90000",,,,,,,,,,,,,,,,,,,,,,
SHIV,ADIX SHOES LTD-dr,,"505,876.00000",,,,,,,,,,,,,,,,,,,,"348,000.00000",
SHIV,AFRICA LUBRICANT MANUFACTURING COMPANY LTD,,"501,102.00000","245,532.00000",,"952,494.08000",,,,,,,,,,,,,,,,,,
SHIV,AMITECH AUTO MOBILE LIMITED,,,,"5,800.00000",,,,"4,060.00000",,"3,770.00000",,"3,480.00000",,"3,480.00000",,"3,480.00000",,"3,364.00000",,"3,480.00000","3,770.00000",,
SHIV,AQUAMIST LIMITED,"2,344,188.43600","203,174.00000",,,,,,,,,,,,,,,,,,,,,
SHIV,ASSOCIATED BEVERAGES LTD,,,,,,,"55,680.00000",,"132,553.20000",,"1,670.40000",,,"1,670.40000",,,,,,,,,
SHIV,BETA HEALTHCARE INTERNATIONAL,,,,,,,,,,,,,,,"131,602.00000","131,892.00000","45,179.68000","481,095.50000",,,,,
SHIV,BIDCO AFRICA LIMITED DR,"195,863.68000","128,052.40000",,,,,,,,,,,,,,,,,,,,,
SHIV,BLESSED DAIRIES LTD,,,"729,036.00000",,"1,368,688.30000",,,,"302,793.41600","1,590,186.00000","1,042,912.50000",,,"1,888,283.25000",,,"1,062,100.87230",,,,,,
SHIV,BLOWPLAST LIMITED,"41,748.40000",,,,,,,,,,,,,,,,,,,,,,
SHIV,BLUE RING PRODUCTS LTD,"61,822.20000",,,,,,,,,,,,,,,,,,,,,,
SHIV,BOBMIL INDUSTRIES LTD DR,"289,263.63200",,,,,,,,,,,,,,,,,,,,,,
SHIV,BRUSH MANUFACTURERS LIMITED DR,"14,140.40000","15,300.40000",,"9,824.04000","29,000.00000",,"8,317.20000",,,,,,,-707.60000,,,,,"104,400.00000",,,,
SHIV,BUYLINE INDUSTRIES LIMITED,,"76,560.00000",,,,,"42,591.72000","27,840.00000",,"20,880.00000",,"64,960.00000","4,524.00000","32,455.40800","13,920.00000",,"46,400.00000",,,,,"58,000.00000",
SHIV,CANAAN WATER COMPANY LTD,"4,718,430.32220",,,,,,,,,,,,,,,,,,,,,,
SHIV,CAPWELL INDUSTRIES LIMITED,"93,264.00000",,,,,,,,,,,,,,,,,,,,,,
SHIV,CHANDARANA SUPERMARKET LIMITED,,,,"669,464.42000","150,336.00000","236,575.62000",,,,,,,"83,966.60000","85,764.60000","309,128.40000",,,,"589,270.14000",,,,
SHIV,CHEMI & COTEX INDUSTRIES LTD,,"414,794.52000","947,333.01600","1,550,249.12000","625,988.09600","38,688.00000","1,729,893.52200","3,700,648.08400","413,585.28000","2,090,777.44200","1,364,875.57500","1,357,581.43754","3,418,299.32352","1,608,405.67272","625,150.51246",,"1,751,182.87677","1,320,099.53759",,,,,
SHIV,CITY LINK WATER FACTORY COMPANY LIMITED,"322,172.72640",,,,,,,,,,,,,,,,,,,,,,
SHIV,CONINX INDUSTRIES LIMITED,,"20,880.00000","20,880.00000",,"20,671.20000",,"16,704.00000",,"17,434.80000","16,861.64400","45,704.00000","37,584.00000",,"28,814.40000",,0.00000,,,,"19,717.81920",,,
SHIV,COOPER K-BRANDS LIMITED,,"4,640.00000",,,,,,,,,,,,,,,,,,,,,
SHIV,DARSH INDUSTRIES LTD,,,,,"5,059,289.60000",,,"2,006,173.16000",,"1,885,203.36000","7,225,364.79000","-35,411.96000",,,"5,288,149.47448",,,,"4,871,913.08032",,,"41,200.80536","62,176.82640"
SHIV,DETERPRO ENTERPRISES,,,"22,156.00000",,,,,,,"95,120.00000",,,,,,,,,,,,,
SHIV,DIVINE INDUSTRIES LIMITED,"337,212.00000","929,392.00000",,,,,,,,,,,,,,,,,,,,,
SHIV,DOM SWISS AFRICA LTD,,,,,,,,,,,,,"145,430.36000",,,,,,,,,,
SHIV,EAST AFRICAN FOODS & BEVERAGES LTD,,,,"184,728.48800",,,,,,,"301,953.64680",,,,,,,"13,486.85395","175,734.78130",,,,
SHIV,EDIBLE OIL PRODUCTS LIMITED,"602,156.00000","141,670.80000",,,,,,,,,,,,,,,,,,,,,
SHIV,ELPIS INDUSTRIES LTD,,,,"302,760.00000",,"256,824.00000","185,136.00000",,,,,,,,,,,,,,,,
SHIV,GALAXY FOODS AND BEVERAGES,,"290,304.00000","495,936.00000","2,106,944.00000",,,"2,492,390.40000",,"1,682,479.90000","4,224,701.67120","92,502.43860","268,742.81360","3,312,429.75000",,"-165,619.12500","3,189,055.04555","350,095.75843","1,208,372.25600",,,,,
SHIV,GENERAL INDUSTRIES LTD,"43,950.77600",,,,"41,467.68000","30,276.00000","-20,733.84000","62,640.00000",,,"19,209.60000",,,"9,604.80000",,,"19,397.52000",,,"19,836.00000",,"12,528.00000",
SHIV,GITHUNGURI DIARY FARM CS LTD.,,"51,620.00000",,,,,,,,,,,,,,,,,,,,,
